Level 8, Oh 1.0e-02, Oha 1.0e-04, De 0.0e+00, Ec 0.0e+00
i dt t ke ymin
543 0.00151515 0.806061 0.0630786 0.490226
544 0.00151515 0.807576 0.0632942 0.490188
545 0.00151515 0.809091 0.0635102 0.49015
546 0.00151515 0.810606 0.0637267 0.490112
547 0.00151515 0.812121 0.0639437 0.490074
548 0.00151515 0.813636 0.0641611 0.490036
549 0.00151515 0.815152 0.0643789 0.489998
550 0.00151515 0.816667 0.0645972 0.48996
551 0.00151515 0.818182 0.064816 0.489922
552 0.00151515 0.819697 0.0650352 0.489884
553 0.00151515 0.821212 0.0652546 0.489846
554 0.00151515 0.822727 0.0654747 0.489807
555 0.00151515 0.824242 0.0656953 0.489769
556 0.00151515 0.825758 0.0659164 0.48973
557 0.00151515 0.827273 0.0661378 0.489692
558 0.00151515 0.828788 0.0663598 0.489653
559 0.00151515 0.830303 0.0665821 0.489615
560 0.00151515 0.831818 0.0668049 0.489576
561 0.00151515 0.833333 0.0670282 0.489537
562 0.00151515 0.834848 0.0672519 0.489498
563 0.00151515 0.836364 0.0674761 0.48946
564 0.00151515 0.837879 0.0677008 0.489421
